,COMMUNITY AREA NAME,BUILDING_SUBTYPE,TOTAL KWH,TOTAL THERMS,TOTAL POPULATION,TOTAL UNITS,AVERAGE BUILDING AGE,AVERAGE HOUSESIZE
9083,Avondale,Multi < 7,82376.0,11983.0,87.0,29.0,114.86,3.11
9084,Avondale,Single Family,48766.0,8522.0,87.0,29.0,117.8,3.11
9086,Avondale,Multi < 7,140288.0,15649.0,126.0,44.0,101.22,3.15
9087,Avondale,Single Family,162165.0,24519.0,126.0,44.0,97.52,3.15
9088,Avondale,Single Family,47318.0,7343.0,23.0,7.0,101.0,3.29
9089,Avondale,Multi < 7,20922.0,3880.0,30.0,9.0,109.0,3.33
9090,Avondale,Single Family,25023.0,3234.0,30.0,9.0,103.0,3.33
9091,Avondale,Multi < 7,31440.0,4864.0,64.0,25.0,114.0,2.56
9092,Avondale,Single Family,111217.0,18657.0,64.0,25.0,98.93,2.56
9093,Avondale,Multi < 7,21734.0,2905.0,73.0,27.0,107.0,2.7
9094,Avondale,Single Family,114514.0,25171.0,73.0,27.0,104.59,2.7
9095,Avondale,Multi < 7,17217.0,3146.0,46.0,18.0,114.0,2.88
9096,Avondale,Single Family,34229.0,3642.0,46.0,18.0,61.5,2.88
